secteur;site;tstamp;trafic_mbps;;;
T70724B;T70724;lundi 16 juillet 2018;4.414695992;;;
T70724C;T70724;lundi 16 juillet 2018;9.262133415;;;
T70725A;T70725;lundi 16 juillet 2018;9.911373299;;;
T70725B;T70725;lundi 16 juillet 2018;14.00600132;;;
T70725C;T70725;lundi 16 juillet 2018;12.33817579;;;
T70730A;T70730;lundi 16 juillet 2018;21.56430981;;;
T70730B;T70730;lundi 16 juillet 2018;11.79634742;;;
T70730C;T70730;lundi 16 juillet 2018;8.839003656;;;
T70735A;T70735;lundi 16 juillet 2018;9.569049926;;;
T70735B;T70735;lundi 16 juillet 2018;6.166109256;;;
T70735C;T70735;lundi 16 juillet 2018;9.204516514;;;
T70737A;T70737;lundi 16 juillet 2018;6.124720482;;;
T70737B;T70737;lundi 16 juillet 2018;7.391621197;;;
T70737C;T70737;lundi 16 juillet 2018;6.138798959;;;
T70738A;T70738;lundi 16 juillet 2018;13.1204842;;;
T70738B;T70738;lundi 16 juillet 2018;4.005980041;;;
T70738C;T70738;lundi 16 juillet 2018;10.25383905;;;
T70743A;T70743;lundi 16 juillet 2018;0.428942478;;;
T70743B;T70743;lundi 16 juillet 2018;6.15632843;;;
T70743C;T70743;lundi 16 juillet 2018;2.862441173;;;
T70744A;T70744;lundi 16 juillet 2018;12.8442752;;;
T70744B;T70744;lundi 16 juillet 2018;22.38415672;;;
T70744C;T70744;lundi 16 juillet 2018;6.522615534;;;
T70745A;T70745;lundi 16 juillet 2018;8.883290243;;;
T70745B;T70745;lundi 16 juillet 2018;7.475077994;;;
T70745C;T70745;lundi 16 juillet 2018;3.594027388;;;
T70747A;T70747;lundi 16 juillet 2018;1.566082097;;;
T70747B;T70747;lundi 16 juillet 2018;1.020623881;;;
T70747C;T70747;lundi 16 juillet 2018;11.40837548;;;
T76995A;T76995;lundi 16 juillet 2018;6.900498695;;;
T76995B;T76995;lundi 16 juillet 2018;2.043664595;;;
T76995C;T76995;lundi 16 juillet 2018;5.419915529;;;
T77125A;T77125;lundi 16 juillet 2018;1.811291895;;;
T77125B;T77125;lundi 16 juillet 2018;3.897252609;;;
T77125C;T77125;lundi 16 juillet 2018;31.93380972;;;
T78256A;T78256;lundi 16 juillet 2018;14.39089032;;;
T78256B;T78256;lundi 16 juillet 2018;14.81731313;;;
T78256C;T78256;lundi 16 juillet 2018;15.05196135;;;
T78258A;T78258;lundi 16 juillet 2018;11.58895438;;;
T78258B;T78258;lundi 16 juillet 2018;14.17568904;;;
T78258C;T78258;lundi 16 juillet 2018;31.67760789;;;
T78259A;T78259;lundi 16 juillet 2018;12.05142179;;;
T78259B;T78259;lundi 16 juillet 2018;8.998628701;;;
T78259C;T78259;lundi 16 juillet 2018;3.102228505;;;
T78262A;T78262;lundi 16 juillet 2018;9.88326212;;;
T78262B;T78262;lundi 16 juillet 2018;7.817023299;;;
T78262C;T78262;lundi 16 juillet 2018;8.77230919;;;
T78264A;T78264;lundi 16 juillet 2018;0.976973962;;;
T78264B;T78264;lundi 16 juillet 2018;1.428550299;;;
T78264C;T78264;lundi 16 juillet 2018;3.817788202;;;
T78269A;T78269;lundi 16 juillet 2018;10.4553611;;;
T78269B;T78269;lundi 16 juillet 2018;12.72215068;;;
T78269C;T78269;lundi 16 juillet 2018;4.055706978;;;
T78270A;T78270;lundi 16 juillet 2018;7.112463896;;;
T78270B;T78270;lundi 16 juillet 2018;1.828095363;;;
T78270C;T78270;lundi 16 juillet 2018;2.429708699;;;
T78271A;T78271;lundi 16 juillet 2018;16.42708258;;;
T78271B;T78271;lundi 16 juillet 2018;15.73723326;;;
T78271C;T78271;lundi 16 juillet 2018;34.90652237;;;
T78273A;T78273;lundi 16 juillet 2018;2.412944204;;;
T78273B;T78273;lundi 16 juillet 2018;12.96472348;;;
T78273C;T78273;lundi 16 juillet 2018;21.33076872;;;
T78274A;T78274;lundi 16 juillet 2018;18.56707865;;;
T78274B;T78274;lundi 16 juillet 2018;3.687784947;;;
T78274C;T78274;lundi 16 juillet 2018;6.025771763;;;
T78279A;T78279;lundi 16 juillet 2018;2.36595494;;;
T78279B;T78279;lundi 16 juillet 2018;0.639503318;;;
T78279C;T78279;lundi 16 juillet 2018;2.062852407;;;
T78280A;T78280;lundi 16 juillet 2018;1.565412201;;;
T78280B;T78280;lundi 16 juillet 2018;6.482237405;;;
T78280C;T78280;lundi 16 juillet 2018;6.15984761;;;
T70721A;T70721;lundi 23 juillet 2018;0.956556139;;;
T70721B;T70721;lundi 23 juillet 2018;2.41316069;;;
T70721C;T70721;lundi 23 juillet 2018;0.343785779;;;
T70722A;T70722;lundi 23 juillet 2018;4.641038695;;;
T70722B;T70722;lundi 23 juillet 2018;7.960462851;;;
T70722C;T70722;lundi 23 juillet 2018;11.63815291;;;
T70724A;T70724;lundi 23 juillet 2018;7.81370958;;;
T70724B;T70724;lundi 23 juillet 2018;4.760496258;;;
T70724C;T70724;lundi 23 juillet 2018;7.822782269;;;
T70725A;T70725;lundi 23 juillet 2018;9.24627844;;;
T70725B;T70725;lundi 23 juillet 2018;14.7106373;;;
T70725C;T70725;lundi 23 juillet 2018;16.06671026;;;
T70730A;T70730;lundi 23 juillet 2018;19.16203875;;;
T70730B;T70730;lundi 23 juillet 2018;14.25693964;;;
T70730C;T70730;lundi 23 juillet 2018;8.293203055;;;
T70735A;T70735;lundi 23 juillet 2018;9.00402566;;;
T70735B;T70735;lundi 23 juillet 2018;6.473945317;;;
T70735C;T70735;lundi 23 juillet 2018;9.942678536;;;
T70737A;T70737;lundi 23 juillet 2018;5.619736368;;;
T70737B;T70737;lundi 23 juillet 2018;8.952098281;;;
T70737C;T70737;lundi 23 juillet 2018;5.433895606;;;
T70738A;T70738;lundi 23 juillet 2018;15.98783806;;;
T70738B;T70738;lundi 23 juillet 2018;3.916562778;;;
T70738C;T70738;lundi 23 juillet 2018;11.13470562;;;
T70743A;T70743;lundi 23 juillet 2018;0.432970008;;;
T70743B;T70743;lundi 23 juillet 2018;6.669734726;;;
T70743C;T70743;lundi 23 juillet 2018;3.232213478;;;
T70744A;T70744;lundi 23 juillet 2018;14.2364938;;;
T70744B;T70744;lundi 23 juillet 2018;24.73046025;;;
T70744C;T70744;lundi 23 juillet 2018;10.42668172;;;
T70745A;T70745;lundi 23 juillet 2018;9.025885759;;;
T70745B;T70745;lundi 23 juillet 2018;8.055094978;;;
T70745C;T70745;lundi 23 juillet 2018;4.594897334;;;
T70747A;T70747;lundi 23 juillet 2018;1.492349012;;;
T70747B;T70747;lundi 23 juillet 2018;0.752058887;;;
T70747C;T70747;lundi 23 juillet 2018;32.70110784;;;
T76995A;T76995;lundi 23 juillet 2018;7.518219284;;;
T76995B;T76995;lundi 23 juillet 2018;2.287059377;;;
T76995C;T76995;lundi 23 juillet 2018;5.609783492;;;
T77125A;T77125;lundi 23 juillet 2018;1.713020462;;;
T77125B;T77125;lundi 23 juillet 2018;3.237974509;;;
T77125C;T77125;lundi 23 juillet 2018;29.95215393;;;
T78256A;T78256;lundi 23 juillet 2018;17.0065564;;;
T78256B;T78256;lundi 23 juillet 2018;14.80685491;;;
T78256C;T78256;lundi 23 juillet 2018;13.75499696;;;
T78258A;T78258;lundi 23 juillet 2018;10.88268701;;;
T78258B;T78258;lundi 23 juillet 2018;15.40388367;;;
T78258C;T78258;lundi 23 juillet 2018;26.92779107;;;
T78259A;T78259;lundi 23 juillet 2018;8.688464573;;;
T78259B;T78259;lundi 23 juillet 2018;7.590445233;;;
T78259C;T78259;lundi 23 juillet 2018;3.640950877;;;
T78262A;T78262;lundi 23 juillet 2018;15.11931926;;;
T78262B;T78262;lundi 23 juillet 2018;7.732499058;;;
T78262C;T78262;lundi 23 juillet 2018;20.62899748;;;
T78264A;T78264;lundi 23 juillet 2018;1.105773294;;;
T78264B;T78264;lundi 23 juillet 2018;1.477633888;;;
T78264C;T78264;lundi 23 juillet 2018;4.612561503;;;
T78269A;T78269;lundi 23 juillet 2018;11.77534788;;;
T78269B;T78269;lundi 23 juillet 2018;12.73815557;;;
T78269C;T78269;lundi 23 juillet 2018;4.110697387;;;
T78270A;T78270;lundi 23 juillet 2018;8.223205447;;;
T78270B;T78270;lundi 23 juillet 2018;1.816019932;;;
T78270C;T78270;lundi 23 juillet 2018;2.399698599;;;
